"_","Id","OwnerId","IsDeleted","Process_Flow__r","Process_Flow__r.Name","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","Activate_On_Creation__c","Active__c","Choose_Next_Owner__c","Conditional_Required_More_Info_Allowed__c","Department_Queue__c","Department__c","Description__c","Dont_Activate__c","Duration_To_Complete_In_Days__c","Duration_To_Complete_In_Hourss__c","Escalation_assigner__c","Escalation_assigner_time__c","Execute_on_submit__c","Expression__c","Field_Rendering__c","Fields_Display_Query__c","Form_Rendering__c","Is_Assigned_TO__c","Is_Multi_Select_Reopen__c","Is_Process_End__c","Is_Reject_Button_Required__c","Is_Required_More_Button_Required__c","Is_Review_Comments_Req__c","Is_Sequence_Business_Process_Available__c","Is_Single_Level_Required_Info__c","Is_Submit_to_Next_Department_Required__c","Is_check_List__c","Next_Approver_CC_Addresses__c","Next_Approver_Email_Template_Name__c","Owner_Assignment__c","Previous_Approver_s_Email_Template_Name__c","Process_Flow__c","Process_Identifier_Option_Values__c","Process_Identifier__c","Rejection_Email_Template_Name__c","Section_Number__c","Send_Approved_Email_to_Previous_Approver__c","Setp_No__c","Skip_Step_To_Reopen__c","Step_Entry_Criteria__c","Step_Name__c","User__c","View_review_comments__c","canMassUpdate__c","isSingleUser__c","section_Name__c"
"[Process_Flow_Step__c]","a0Fg50000026lZSEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Owner Booking","PFS-0079","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000001HnwbEAC","Sales","Sales Operations","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028BehEAE","","","","2","false","2","false","","Sales Operations","","false","false","false","Sales Operations"
"[Process_Flow_Step__c]","a0Fg50000026lZTEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Agent Booking","PFS-0080","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000001HnwbEAC","Sales","Sales Operations","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028DtNEAU","","","","3","false","3","false","","Sales Operations","","false","false","false","Sales Operations"
"[Process_Flow_Step__c]","a0Fg50000026lZUEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Owner Booking","PFS-0081","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000001Ho33EAC","Sales","CBDO Review","false","","0","","","false","","false","","false","false","false","true","true","true","false","false","false","false","false","","","","","a0Gg50000028BehEAE","","","","3","false","3","false","","CBDO Review","","false","false","true","CBDO Review"
"[Process_Flow_Step__c]","a0Fg50000026lZVEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Agent Booking","PFS-0082","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000001HnlJEAS","Channel Partner","Channel Operations Review","false","","0","","","false","","false","","false","false","false","false","true","false","false","false","false","false","false","","","","","a0Gg50000028DtNEAU","","","","1","false","1","false","","Channel Operations Review","","false","false","true","Channel Operations Review"
"[Process_Flow_Step__c]","a0Fg50000026lZWEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Agent Booking","PFS-0083","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000001GoRhEAK","Sales","SM / SD Docs Upload","false","","0","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028DtNEAU","","","","2","false","2","false","","SM / SD Docs Upload","","false","false","true","SM / SD Docs Upload"
"[Process_Flow_Step__c]","a0Fg50000026lZXEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Agent Booking","PFS-0084","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000001Ho33EAC","Sales","CBDO Review","false","","0","","","false","","false","","false","false","false","true","true","true","false","false","false","false","false","","","","","a0Gg50000028DtNEAU","","","","4","false","4","false","","CBDO Review","","false","false","true","CBDO Review"
"[Process_Flow_Step__c]","a0Fg50000026lZYEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Brand Allied- Without Business Details","PFS-0085","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","","Marketing","Line Manager Approval","false","","24","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028E1REAU","","","","1","false","1","false","","Line Manager Approval","","false","false","false","Request and Approval Stage"
"[Process_Flow_Step__c]","a0Fg50000026oKREAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Business Trip Approval - SalesNew1","PFS-0052","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","0051t000002fFbYAAU","Channel Partner","Pending with CSO","false","","","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028BunEAE","","","","1","false","8","false","","CSO Approval","","false","false","false","1"
"[Process_Flow_Step__c]","a0Fg50000026oKSEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","BR Amendment","PFS-0053","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","true","true","false","false","005TX0000003UG5YAM","Channel Partner","Channel Operations Approval","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028CNpEAM","","","","2","false","2","false","","Channel Operations Approval","","false","false","false","Channel Operations Approval"
"[Process_Flow_Step__c]","a0Fg50000026oKTEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","BR Amendment","PFS-0054","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","005ba000004l4sHAAQ","Channel Partner","Accounts Team Approval","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028CNpEAM","","","","3","false","3","false","","Accounts Team Approval","","false","false","false","Accounts Team Approval"
"[Process_Flow_Step__c]","a0Fg50000026oKUEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","BR Amendment","PFS-0055","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","005ba000004l4sHAAQ","Channel Partner","Audit Review / Beneficiary Addition","false","","0","","","false","","false","","false","false","false","true","true","true","false","false","false","false","false","","","","","a0Gg50000028CNpEAM","","","","5","false","5","false","","Audit Review / Beneficiary Addition","","false","false","false","Audit Review / Beneficiary Addition"
"[Process_Flow_Step__c]","a0Fg50000026pxyEAA","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Ledger Approvals","PFS-0056","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000000raF3EAI","Sales","MIS Commission","false","5","0","","","false","","false","","false","false","false","false","true","false","false","false","false","false","false","","","","","a0Gg50000028DRxEAM","","","","1","false","1","false","","MIS Commission","","false","false","false","Ledger verification"
"[Process_Flow_Step__c]","a0Fg50000026pxzEAA","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Ledger Approvals","PFS-0057","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000000bGFVEA2","Sales","Audit Team Approval","false","5","0","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028DRxEAM","","","","1","false","3","false","","Audit Team Approval","","false","false","false","Ledger verification"
"[Process_Flow_Step__c]","a0Fg50000026py0EAA","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Ledger Approvals","PFS-0058","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000000raF3EAI","Sales","Channel Operations Team","false","5","0","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028DRxEAM","","","","1","false","2","false","","Channel Operations Team","","false","false","false","Ledger verification"
"[Process_Flow_Step__c]","a0Fg50000026py1EAA","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Ledger Approvals","PFS-0059","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000000raF3EAI","Sales","Channel Operations team","false","5","0","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028DRxEAM","","","","1","false","5","false","","Channel Operations team","","false","false","false","Invoice review & Payment Release"
"[Process_Flow_Step__c]","a0Fg50000026py2EAA","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Ledger Approvals","PFS-0060","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000000rZalEAE","Sales","Account Team","false","5","0","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028DRxEAM","","","","1","false","6","false","","Account Team","","false","false","false","Invoice review & Payment Release"
